word	freq	tag	base	lemma
leült	20	3sg.past.indef	leült	leül
szállott	20	3sg.past.indef	szállott	száll
feküdt	19	3sg.past.indef	feküdt	feküd
meghasonlott	19	3sg.past.indef	hasonlott	hasonl
hitt	18	3sg.past.indef	hitt	hisz
jelentette	18	3sg.past.def	jelentette	jelent
meggyógyult	18	3sg.past.indef	gyógyult	gyógyul
megszáradott	18	3sg.past.indef	száradott	szárad
választott	18	3sg.past.indef	választott	választ
írta	18	3sg.past.def	írta	ír
illete	17	3sg.past.def	illete	ille
kezdett	17	3sg.past.indef	kezdett	kezd
megette	17	3sg.past.def	ette	eszik
megjött	17	3sg.past.indef	jött	jön
művelte	16	3sg.past.def	művelte	művel
csinált	15	3sg.past.indef	csinált	csinál
elment	15	3sg.past.indef	ment	megy
felemelte	15	3sg.past.def	emelte	emel
gyógyított	15	3sg.past.indef	gyógyított	gyógyít
hagyott	15	3sg.past.indef	hagyott	hagy
ismerte	15	3sg.past.def	ismerte	ismer
